test_name                                      num_threads    ops_per_sec
InsertIndexedStringsSimpleCollation                      4    5634.14
InsertIndexedStringsNonSimpleCollation                   1    1878.61
InsertIndexedStringsNonSimpleCollation                   2    3121.92
InsertIndexedStringsNonSimpleCollation                   4    4962.36
Insert.UniqueIndex                                       1    1786.71
Insert.UniqueIndex                                       2    3017.64
Insert.UniqueIndex                                       4    6060.74
Insert.UniqueIndexCompound                               1    1897.85
Insert.UniqueIndexCompound                               2    3474.28
Insert.UniqueIndexCompound                               4    5935.5
Insert.UniqueIndexCompoundReverse                        1    1804.69
Insert.UniqueIndexCompoundReverse                        2    3241.4
Insert.UniqueIndexCompoundReverse                        4    5551.64
Insert.LargeDocVector                                    1     235.864
Insert.LargeDocVector                                    2     424.478
Insert.LargeDocVector                                    4     644.834
MultiUpdate.Uncontended.SingleDoc.NoIndex                1    1808.67
MultiUpdate.Uncontended.SingleDoc.NoIndex                2    2748.88
MultiUpdate.Uncontended.SingleDoc.NoIndex                4    5610.04
MultiUpdate.Uncontended.SingleDoc.Indexed                1    1745.54
MultiUpdate.Uncontended.SingleDoc.Indexed                2    3083.21
MultiUpdate.Uncontended.SingleDoc.Indexed                4    5903.18
MultiUpdate.Uncontended.TwoDocs.NoIndex                  1    1607.65
MultiUpdate.Uncontended.TwoDocs.NoIndex                  2    2790.01
MultiUpdate.Uncontended.TwoDocs.NoIndex                  4    4766.09
MultiUpdate.Uncontended.TwoDocs.Indexed                  1    1536.44
MultiUpdate.Uncontended.TwoDocs.Indexed                  2    2509.98
MultiUpdate.Uncontended.TwoDocs.Indexed                  4    4753.15
MultiUpdate.Contended.Low.NoIndex                        1    1835.22
MultiUpdate.Contended.Low.NoIndex                        2    2664.72
MultiUpdate.Contended.Low.NoIndex                        4    5887.86
MultiUpdate.Contended.Low.Indexed                        1    1785.73
MultiUpdate.Contended.Low.Indexed                        2    3066.55
MultiUpdate.Contended.Low.Indexed                        4    5200.78
MultiUpdate.Contended.Medium.NoIndex                     1      16.6823
MultiUpdate.Contended.Medium.NoIndex                     2      27.3245
MultiUpdate.Contended.Medium.NoIndex                     4      41.8938
MultiUpdate.Contended.Medium.Indexed                     1      13.1109
MultiUpdate.Contended.Medium.Indexed                     2      22.1055
MultiUpdate.Contended.Medium.Indexed                     4      35.0642
MultiUpdate.Contended.Hot.NoIndex                        1     802.43
MultiUpdate.Contended.Hot.NoIndex                        2    1376.67
MultiUpdate.Contended.Hot.NoIndex                        4    2326.58
MultiUpdate.Contended.Hot.Indexed                        1     619.928
MultiUpdate.Contended.Hot.Indexed                        2     800.648
MultiUpdate.Contended.Hot.Indexed                        4    1616.88
MultiUpdate.Contended.Doc.Seq.NoIndex                    1    1076.6
MultiUpdate.Contended.Doc.Seq.NoIndex                    2    1879.84
MultiUpdate.Contended.Doc.Seq.NoIndex                    4    4393.44
MultiUpdate.Contended.Doc.Seq.Indexed                    1    1564.27
MultiUpdate.Contended.Doc.Seq.Indexed                    2    2419.33
MultiUpdate.Contended.Doc.Seq.Indexed                    4    3240.73
MultiUpdate.Contended.Doc.Rnd.NoIndex                    1    1420.67
MultiUpdate.Contended.Doc.Rnd.NoIndex                    2    3828.46
MultiUpdate.Contended.Doc.Rnd.NoIndex                    4    4987.07
MultiUpdate.Contended.Doc.Rnd.Indexed                    1    1965.99
MultiUpdate.Contended.Doc.Rnd.Indexed                    2    3210.44
MultiUpdate.Contended.Doc.Rnd.Indexed                    4    7300.9
Update.IncNoIndex                                        1    1271.26
Update.IncNoIndex                                        2    2793.06
Update.IncNoIndex                                        4    5256.59
Update.IncWithIndex                                      1    1404.98
Update.IncWithIndex                                      2    3098.09
Update.IncWithIndex                                      4    4729.49
Update.IncNoIndexUpsert                                  1    1790.14
Update.IncNoIndexUpsert                                  2    2926.81
Update.IncNoIndexUpsert                                  4    5547.56
Update.IncWithIndexUpsert                                1    1541.36
Update.IncWithIndexUpsert                                2    2873.74
Update.IncWithIndexUpsert                                4    5529.48
Update.IncFewSmallDoc                                    1    1697.93
Update.IncFewSmallDoc                                    2    2950.55
Update.IncFewSmallDoc                                    4    5360.93
Update.IncFewLargeDoc                                    1    1666.68
Update.IncFewLargeDoc                                    2    2969.05
Update.IncFewLargeDoc                                    4    5223.22
Update.IncFewSmallDocLongFields                          1    1465.67
Update.IncFewSmallDocLongFields                          2    2939.14
Update.IncFewSmallDocLongFields                          4    4950.27
